"","town","townUK","latuk","lonuk","lat","lon","geom"
"742","Hemmoor","Swaffham",52.6529,0.6843,53.7025,9.1394,"LINESTRING (0.6843 52.6529, 9.1394 53.7025)"
"743","Hem, Nord","Mossley",53.5147,-2.0387,50.6558,3.1886,"LINESTRING (-2.0387 53.5147, 3.1886 50.6558)"
"744","Hemsbach","Wareham, Dorset",50.685,-2.108,49.5903,8.6564,"LINESTRING (-2.108 50.685, 8.6564 49.5903)"
"748","Henvic","Starcross",50.6267,-3.4474,48.6331,-3.9267,"LINESTRING (-3.4474 50.6267, -3.9267 48.6331)"
"749","Herblay","Yeovil",50.9452,-2.637,48.9908,2.1664,"LINESTRING (-2.637 50.9452, 2.1664 48.9908)"
"750","Herford","Hinckley",52.5413,-1.3725,52.1333,8.6833,"LINESTRING (-1.3725 52.5413, 8.6833 52.1333)"
"751","Héric","Purton",51.591,-1.866,47.4133,-1.6506,"LINESTRING (-1.866 51.591, -1.6506 47.4133)"
"752","Herkheim","Ilfracombe",51.208,-4.12,48.8225,10.4886,"LINESTRING (-4.12 51.208, 10.4886 48.8225)"
"755","Herten","Doncaster",53.516,-1.133,51.6,7.1333,"LINESTRING (-1.133 53.516, 7.1333 51.6)"
"756","Hesdin","London Borough of Havering",51.55,0.2167,50.375,2.0375,"LINESTRING (0.2167 51.55, 2.0375 50.375)"
"757","Heusenstamm","Tonbridge",51.1987,0.2764,50.05,8.8,"LINESTRING (0.2764 51.1987, 8.8 50.05)"
"758","Hilden","Warrington",53.3917,-2.5972,51.1714,6.9394,"LINESTRING (-2.5972 53.3917, 6.9394 51.1714)"
"759","Hillerse","Dolton, Devon",50.8833,-4.0333,52.4167,10.4,"LINESTRING (-4.0333 50.8833, 10.4 52.4167)"
"760","Hofheim, Hesse","Tiverton, Devon",50.903,-3.488,50.0833,8.45,"LINESTRING (-3.488 50.903, 8.45 50.0833)"
"761","Holbæk","Dorchester, Dorset",50.7154,-2.4367,55.7156,11.7225,"LINESTRING (-2.4367 50.7154, 11.7225 55.7156)"
"762","Holetown","London Borough of Haringey",51.6016,-0.1129,13.1867,-59.6381,"LINESTRING (-0.1129 51.6016, -59.6381 13.1867)"
"767","Holzwickede","Weymouth, Dorset",50.613,-2.457,51.5,7.6167,"LINESTRING (-2.457 50.613, 7.6167 51.5)"
"768","Homberg (Efze)","Bridgwater",51.128,-2.993,51.0331,9.4,"LINESTRING (-2.993 51.128, 9.4 51.0331)"
"769","Honfleur","Sandwich, Kent",51.2747,1.3389,49.4194,0.2325,"LINESTRING (1.3389 51.2747, 0.2325 49.4194)"
