"","town","townUK","latuk","lonuk","lat","lon","geom"
"1404","Ploulec'h","St Erth",50.166,-5.437,48.7189,-3.5031,"LINESTRING (-5.437 50.166, -3.5031 48.7189)"
"1405","Plozévet","Hartland, Devon",50.993,-4.483,47.9875,-4.4239,"LINESTRING (-4.483 50.993, -4.4239 47.9875)"
"1406","Plumergat","Redruth",50.233,-5.224,47.7422,-2.9167,"LINESTRING (-5.224 50.233, -2.9167 47.7422)"
"1407","Plymouth, Massachusetts","Plymouth",50.3714,-4.1422,41.9583,-70.6678,"LINESTRING (-4.1422 50.3714, -70.6678 41.9583)"
"1408","Poitiers","Northampton",52.2372,-0.896,46.58,0.34,"LINESTRING (-0.896 52.2372, 0.34 46.58)"
"1411","Pontivy","Tavistock, Devon",50.545,-4.15,48.0692,-2.9614,"LINESTRING (-4.15 50.545, -2.9614 48.0692)"
"1413","Pontmain","Harlaxton",52.8841,-0.687,48.4394,-1.0572,"LINESTRING (-0.687 52.8841, -1.0572 48.4394)"
"1414","Pontoise","Sevenoaks",51.2781,0.1874,49.0516,2.1017,"LINESTRING (0.1874 51.2781, 2.1017 49.0516)"
"1416","Pordic","Hayle",50.183,-5.416,48.5711,-2.8164,"LINESTRING (-5.416 50.183, -2.8164 48.5711)"
"1417","Pornic","Newby and Scalby",54.3,-0.45,47.1167,-2.1,"LINESTRING (-0.45 54.3, -2.1 47.1167)"
"1418","Porspoder","Cawsand",50.3311,-4.2021,48.5094,-4.7642,"LINESTRING (-4.2021 50.3311, -4.7642 48.5094)"
"1421","Porto","Bristol",51.45,-2.5833,41.1621,-8.622,"LINESTRING (-2.5833 51.45, -8.622 41.1621)"
"1422","Portsmouth, Virginia","Portsmouth",50.8167,-1.0833,36.8313,-76.3456,"LINESTRING (-1.0833 50.8167, -76.3456 36.8313)"
"1424","Pouzauges","Eye, Suffolk",52.321,1.147,46.7831,-0.8361,"LINESTRING (1.147 52.321, -0.8361 46.7831)"
"1425","Preetz","Blandford Forum",50.856,-2.1648,54.2367,10.2822,"LINESTRING (-2.1648 50.856, 10.2822 54.2367)"
"1426","Presnensky District","London Borough of Hackney",51.5333,-0.0833,55.7467,37.5369,"LINESTRING (-0.0833 51.5333, 37.5369 55.7467)"
"1427","Preveza","Sherborne",50.9469,-2.5171,38.95,20.7333,"LINESTRING (-2.5171 50.9469, 20.7333 38.95)"
"1431","Prienai","Sherborne",50.9469,-2.5171,54.6333,23.9417,"LINESTRING (-2.5171 50.9469, 23.9417 54.6333)"
"1435","Primelin","Mabe, Cornwall",50.1634,-5.1326,48.0264,-4.61,"LINESTRING (-5.1326 50.1634, -4.61 48.0264)"
"1436","Puerto Madryn","Nefyn",52.935,-4.525,-42.7667,-65.05,"LINESTRING (-4.525 52.935, -65.05 -42.7667)"
"1438","Pulheim","Fareham",50.85,-1.18,51,6.8,"LINESTRING (-1.18 50.85, 6.8 51)"
"1439","Quiberon","Looe",50.3535,-4.454,47.4842,-3.1192,"LINESTRING (-4.454 50.3535, -3.1192 47.4842)"
"1440","Quickborn","Uckfield",50.97,0.1,53.7333,9.8972,"LINESTRING (0.1 50.97, 9.8972 53.7333)"
"1441","Quimperlé","Liskeard",50.4536,-4.4651,47.8736,-3.5486,"LINESTRING (-4.4651 50.4536, -3.5486 47.8736)"
"1442","Racibórz","Wrexham",53.0463,-2.9932,50.0833,18.2167,"LINESTRING (-2.9932 53.0463, 18.2167 50.0833)"
"1443","Raisdorf","Uttoxeter",52.898,-1.86,54.2667,10.2167,"LINESTRING (-1.86 52.898, 10.2167 54.2667)"
"1444","Rajkot","Leicester",52.6333,-1.1333,22.3,70.7833,"LINESTRING (-1.1333 52.6333, 70.7833 22.3)"
"1445","Raleigh, North Carolina","Kingston upon Hull",53.7443,-0.3325,35.7806,-78.6389,"LINESTRING (-0.3325 53.7443, -78.6389 35.7806)"
"1446","Ramallah","London Borough of Hounslow",51.4675,-0.3617,31.9,35.2,"LINESTRING (-0.3617 51.4675, 35.2 31.9)"
"1447","Ramat Gan","London Borough of Barnet",51.6254,-0.1527,32.0833,34.8167,"LINESTRING (-0.1527 51.6254, 34.8167 32.0833)"
"1448","Rambouillet","Great Yarmouth",52.606,1.729,48.6444,1.8308,"LINESTRING (1.729 52.606, 1.8308 48.6444)"
"1449","Rastatt","Woking",51.3162,-0.561,48.85,8.2,"LINESTRING (-0.561 51.3162, 8.2 48.85)"
"1450","Ratingen","Blyth Valley",55.127,-1.523,51.3,6.85,"LINESTRING (-1.523 55.127, 6.85 51.3)"
"1451","Ravenna","Chichester",50.8365,-0.7792,44.4167,12.2,"LINESTRING (-0.7792 50.8365, 12.2 44.4167)"
"1452","Ravensburg","Aberdare",51.713,-3.445,47.7831,9.6114,"LINESTRING (-3.445 51.713, 9.6114 47.7831)"
"1453","Recklinghausen","Preston, Lancashire",53.759,-2.699,51.585,7.1619,"LINESTRING (-2.699 53.759, 7.1619 51.585)"
"1456","Rehovot","Manchester",53.4667,-2.2333,31.898,34.8081,"LINESTRING (-2.2333 53.4667, 34.8081 31.898)"
"1457","Reims","Canterbury",51.275,1.087,49.2628,4.0347,"LINESTRING (1.087 51.275, 4.0347 49.2628)"
"1458","Reinickendorf","Royal Borough of Greenwich",51.45,0.05,52.5667,13.3333,"LINESTRING (0.05 51.45, 13.3333 52.5667)"
"1460","Rennes","Exeter",50.7167,-3.5333,48.1147,-1.6794,"LINESTRING (-3.5333 50.7167, -1.6794 48.1147)"
"1461","Reutlingen","Ellesmere Port",53.279,-2.897,48.4833,9.2167,"LINESTRING (-2.897 53.279, 9.2167 48.4833)"
"1462","Reykjavík","Kingston upon Hull",53.7443,-0.3325,64.1333,-21.9333,"LINESTRING (-0.3325 53.7443, -21.9333 64.1333)"
"1463","Rheinbach","Sevenoaks",51.2781,0.1874,50.6333,6.95,"LINESTRING (0.1874 51.2781, 6.95 50.6333)"
"1464","Rhens","Bramley, Surrey",51.193,-0.558,50.2805,7.6181,"LINESTRING (-0.558 51.193, 7.6181 50.2805)"
"1465","Ribe","Ely, Cambridgeshire",52.4,0.26,55.3283,8.7622,"LINESTRING (0.26 52.4, 8.7622 55.3283)"
"1466","Říčany","Whitstable",51.3607,1.0257,49.9919,14.6556,"LINESTRING (1.0257 51.3607, 14.6556 49.9919)"
"1467","Richmond, Virginia","London Borough of Richmond upon Thames",51.4167,-0.3333,37.5333,-77.4667,"LINESTRING (-0.3333 51.4167, -77.4667 37.5333)"
"1470","Riga","Slough",51.51,-0.59,56.9489,24.1064,"LINESTRING (-0.59 51.51, 24.1064 56.9489)"
"1471","Rijnwoude","Dawlish",50.581,-3.466,52.1333,4.5833,"LINESTRING (-3.466 50.581, 4.5833 52.1333)"
"1472","Rimbach, Hesse","Colwich, Staffordshire",52.7875,-1.9806,49.6233,8.76,"LINESTRING (-1.9806 52.7875, 8.76 49.6233)"
"1473","Rinteln","Kendal",54.326,-2.745,52.1906,9.0814,"LINESTRING (-2.745 54.326, 9.0814 52.1906)"
"1474","Rio de Janeiro","Liverpool",53.4,-3,-22.9083,-43.1964,"LINESTRING (-3 53.4, -43.1964 -22.9083)"
"1475","Riorges","Elland",53.683,-1.84,46.0436,4.0414,"LINESTRING (-1.84 53.683, 4.0414 46.0436)"
"1476","Rivesaltes","Clitheroe",53.8711,-2.3916,42.7697,2.8747,"LINESTRING (-2.3916 53.8711, 2.8747 42.7697)"
"1477","Rixensart","Birstall, Leicestershire",52.6736,-1.12,50.7167,4.5333,"LINESTRING (-1.12 52.6736, 4.5333 50.7167)"
"1478","Roanne","Nuneaton and Bedworth",52.5218,-1.4676,46.0367,4.0689,"LINESTRING (-1.4676 52.5218, 4.0689 46.0367)"
"1481","Romainville","Castle Point",51.54,0.58,48.884,2.435,"LINESTRING (0.58 51.54, 2.435 48.884)"
"1482","Rome","Woodhall Spa",53.1515,-0.2183,41.9,12.5,"LINESTRING (-0.2183 53.1515, 12.5 41.9)"
"1484","Roncq","Todmorden",53.713,-2.096,50.7544,3.1211,"LINESTRING (-2.096 53.713, 3.1211 50.7544)"
"1485","Ronse","Sandwich, Kent",51.2747,1.3389,50.75,3.6,"LINESTRING (1.3389 51.2747, 3.6 50.75)"
"1486","Roscoff","Great Torrington",50.953,-4.141,48.7272,-3.9844,"LINESTRING (-4.141 50.953, -3.9844 48.7272)"
"1487","Rosel","Goodleigh",51.0917,-4.0067,49.2297,-0.4569,"LINESTRING (-4.0067 51.0917, -0.4569 49.2297)"
"1488","Rotenburg an der Wümme","Falmouth, Cornwall",50.15,-5.07,53.1069,9.3969,"LINESTRING (-5.07 50.15, 9.3969 53.1069)"
"1489","Rots","Newton St Cyres",50.768,-3.592,49.2083,-0.4767,"LINESTRING (-3.592 50.768, -0.4767 49.2083)"
"1490","Rotterdam","Kingston upon Hull",53.7443,-0.3325,51.9167,4.5,"LINESTRING (-0.3325 53.7443, 4.5 51.9167)"
"1491","Roubaix","Bradford",53.8,-1.7521,50.7,3.17,"LINESTRING (-1.7521 53.8, 3.17 50.7)"
"1492","Rouen","Norwich",52.6283,1.2967,49.44,1.1,"LINESTRING (1.2967 52.6283, 1.1 49.44)"
"1493","Rousies","Hadleigh, Suffolk",52.044,0.961,50.2722,4.0067,"LINESTRING (0.961 52.044, 4.0067 50.2722)"
"1495","Royan","Gosport",50.7951,-1.1242,45.62,-1.03,"LINESTRING (-1.1242 50.7951, -1.03 45.62)"
"1496","Rüdesheim am Rhein","Swanage",50.61,-1.96,49.9833,7.9306,"LINESTRING (-1.96 50.61, 7.9306 49.9833)"
"1498","Ruppichteroth","Longdendale",53.4956,-1.795,50.8439,7.4836,"LINESTRING (-1.795 53.4956, 7.4836 50.8439)"
"1499","Rüsselsheim","Rugby, Warwickshire",52.37,-1.26,50,8.4333,"LINESTRING (-1.26 52.37, 8.4333 50)"
"1500","Rüthen","Dereham",52.6822,0.9404,51.4933,8.4833,"LINESTRING (0.9404 52.6822, 8.4833 51.4933)"
"1501","Rye, New Hampshire","Rye, East Sussex",50.95,0.73,43.0133,-70.7708,"LINESTRING (0.73 50.95, -70.7708 43.0133)"
"1502","Ryes","Michelmersh",51.0332,-1.5079,49.3125,-0.6225,"LINESTRING (-1.5079 51.0332, -0.6225 49.3125)"
"1503","Saffré","Winterton, Lincolnshire",53.6549,-0.5979,47.5025,-1.5775,"LINESTRING (-0.5979 53.6549, -1.5775 47.5025)"
"1504","Sahiwal","Rochdale",53.6136,-2.161,30.6644,73.1083,"LINESTRING (-2.161 53.6136, 73.1083 30.6644)"
"1542","Saint Petersburg","Manchester",53.4667,-2.2333,59.95,30.3,"LINESTRING (-2.2333 53.4667, 30.3 59.95)"
"1554","Saline, Michigan","Brecon",51.9468,-3.3909,42.1667,-83.7817,"LINESTRING (-3.3909 51.9468, -83.7817 42.1667)"
"1556","Salzgitter","Swindon",51.56,-1.78,52.15,10.3333,"LINESTRING (-1.78 51.56, 10.3333 52.15)"
"1557","Salzwedel","Felixstowe",51.9639,1.3515,52.85,11.15,"LINESTRING (1.3515 51.9639, 11.15 52.85)"
"1559","Sancerre","Eccleshall",52.859,-2.251,47.332,2.84,"LINESTRING (-2.251 52.859, 2.84 47.332)"
"1561","Sandringham, Victoria","King's Lynn",52.7543,0.3976,-37.9525,145.0123,"LINESTRING (0.3976 52.7543, 145.0123 -37.9525)"
"1562","San Francisco Libre","Reading, Berkshire",51.4542,-0.9731,12.5,-86.3,"LINESTRING (-0.9731 51.4542, -86.3 12.5)"
"1563","Sankt Augustin","Grantham",52.918,-0.638,50.77,7.1867,"LINESTRING (-0.638 52.918, 7.1867 50.77)"
"1564","Sannerville","Exminster",50.6776,-3.4945,49.1814,-0.2217,"LINESTRING (-3.4945 50.6776, -0.2217 49.1814)"
"1565","San Pietro in Cariano","Ludlow",52.368,-2.718,45.5167,10.8833,"LINESTRING (-2.718 52.368, 10.8833 45.5167)"
"1569","San Sebastián","Plymouth",50.3714,-4.1422,43.3214,-1.9856,"LINESTRING (-4.1422 50.3714, -1.9856 43.3214)"
"1570","Santa Fe, Granada","Totnes",50.432,-3.684,37.1892,-3.7178,"LINESTRING (-3.684 50.432, -3.7178 37.1892)"
"1571","Santiago","Woodhall Spa",53.1515,-0.2183,-33.45,-70.6667,"LINESTRING (-0.2183 53.1515, -70.6667 -33.45)"
"1572","Sarajevo","Coventry",52.4081,-1.5106,43.8476,18.3564,"LINESTRING (-1.5106 52.4081, 18.3564 43.8476)"
"1573","Sarceaux","East Hendred",51.596,-1.338,48.7192,-0.04,"LINESTRING (-1.338 51.596, -0.04 48.7192)"
"1576","Saskatoon","Oxford",51.7519,-1.2578,52.1333,-106.6833,"LINESTRING (-1.2578 51.7519, -106.6833 52.1333)"
"1578","Sauve","Broughton, Hampshire",51.0928,-1.5639,43.9433,3.9492,"LINESTRING (-1.5639 51.0928, 3.9492 43.9433)"
"1579","Savanne District","Spelthorne",51.4333,-0.5,-20.4667,57.5,"LINESTRING (-0.5 51.4333, 57.5 -20.4667)"
"1581","Scaër","Crickhowell",51.8597,-3.1372,48.0281,-3.7008,"LINESTRING (-3.1372 51.8597, -3.7008 48.0281)"
"1584","Schiedam","London Borough of Wandsworth",51.4573,-0.1949,51.9167,4.4,"LINESTRING (-0.1949 51.4573, 4.4 51.9167)"
"1586","Schmallenberg","Burgess Hill",50.9535,-0.1262,51.1333,8.3,"LINESTRING (-0.1262 50.9535, 8.3 51.1333)"
"1588","Schoorl","Hadleigh, Suffolk",52.044,0.961,52.7,4.7,"LINESTRING (0.961 52.044, 4.7 52.7)"
"1589","Schorndorf","Bury",53.593,-2.298,48.8,9.5333,"LINESTRING (-2.298 53.593, 9.5333 48.8)"
"1590","Schrobenhausen","Bridgnorth",52.535,-2.4195,48.5333,11.2667,"LINESTRING (-2.4195 52.535, 11.2667 48.5333)"
"1591","Schwäbisch Gmünd","Barnsley",53.5537,-1.4791,48.8,9.8,"LINESTRING (-1.4791 53.5537, 9.8 48.8)"
"1592","Schwäbisch Hall","Loughborough",52.7705,-1.2046,49.1122,9.7375,"LINESTRING (-1.2046 52.7705, 9.7375 49.1122)"
"1593","Schwalbach am Taunus","Yarm",54.505,-1.348,50.15,8.5333,"LINESTRING (-1.348 54.505, 8.5333 50.15)"
"1594","Schwerte","Hastings",50.8563,0.5729,51.4458,7.5653,"LINESTRING (0.5729 50.8563, 7.5653 51.4458)"
"1596","Seesen","Wantage",51.589,-1.427,51.8931,10.1783,"LINESTRING (-1.427 51.589, 10.1783 51.8931)"
"1597","Selm","Workington",54.6365,-3.5549,51.6833,7.4833,"LINESTRING (-3.5549 54.6365, 7.4833 51.6833)"
"1598","Selsingen","Sawston",52.1247,0.1732,53.3667,9.2167,"LINESTRING (0.1732 52.1247, 9.2167 53.3667)"
"1600","Sens","Chester",53.1903,-2.8916,48.1975,3.2877,"LINESTRING (-2.8916 53.1903, 3.2877 48.1975)"
"1602","Sesimbra","Sherborne",50.9469,-2.5171,38.4444,-9.1014,"LINESTRING (-2.5171 50.9469, -9.1014 38.4444)"
"1606","Sète","Hartlepool",54.69,-1.21,43.4053,3.6975,"LINESTRING (-1.21 54.69, 3.6975 43.4053)"
"1607","Sézanne","Spalding, Lincolnshire",52.7858,-0.1529,48.7197,3.7236,"LINESTRING (-0.1529 52.7858, 3.7236 48.7197)"
"1608","Shanghai","Liverpool",53.4,-3,31.2,121.5,"LINESTRING (-3 53.4, 121.5 31.2)"
"1610","Shinjuku","London Borough of Lambeth",51.4602,-0.1214,35.6938,139.7036,"LINESTRING (-0.1214 51.4602, 139.7036 35.6938)"
"1612","Siegen","Morley, West Yorkshire",53.7492,-1.6023,50.8833,8.0167,"LINESTRING (-1.6023 53.7492, 8.0167 50.8833)"
"1613","Siegen","Morley, West Yorkshire",53.7492,-1.6023,50.8833,8.17,"LINESTRING (-1.6023 53.7492, 8.17 50.8833)"
"1614","Siegen","Morley, West Yorkshire",53.7492,-1.6023,50.92,8.0167,"LINESTRING (-1.6023 53.7492, 8.0167 50.92)"
"1615","Siegen","Morley, West Yorkshire",53.7492,-1.6023,50.92,8.17,"LINESTRING (-1.6023 53.7492, 8.17 50.92)"
"1617","Sigulda","Sherborne",50.9469,-2.5171,57.15,24.8667,"LINESTRING (-2.5171 50.9469, 24.8667 57.15)"
"1622","Simbach am Inn","Skipton",53.962,-2.017,48.2667,13.0167,"LINESTRING (-2.017 53.962, 13.0167 48.2667)"
"1623","Simonswald","Worthing",50.8147,-0.3714,48.1003,8.0558,"LINESTRING (-0.3714 50.8147, 8.0558 48.1003)"
"1624","Sindelfingen","Dronfield",53.3024,-1.4664,48.7133,9.0028,"LINESTRING (-1.4664 53.3024, 9.0028 48.7133)"
"1625","Siret","Sherborne",50.9469,-2.5171,47.9531,26.0725,"LINESTRING (-2.5171 50.9469, 26.0725 47.9531)"
"1629","Skarszewy","Sandy, Bedfordshire",52.131,-0.297,54.0667,18.4333,"LINESTRING (-0.297 52.131, 18.4333 54.0667)"
"1630","Skawina","Thetford",52.41,0.74,49.9833,19.8333,"LINESTRING (0.74 52.41, 19.8333 49.9833)"
"1631","Skopje","Bradford",53.8,-1.7521,42,21.4333,"LINESTRING (-1.7521 53.8, 21.4333 42)"
"1632","Slagelse","Aberdare",51.713,-3.445,55.405,11.3738,"LINESTRING (-3.445 51.713, 11.3738 55.405)"
"1633","Sliema","Hartlepool",54.69,-1.21,35.9122,14.5042,"LINESTRING (-1.21 54.69, 14.5042 35.9122)"
"1634","Słupsk","City of Carlisle",54.8908,-2.9439,54.45,17.0333,"LINESTRING (-2.9439 54.8908, 17.0333 54.45)"
"1635","Sochaczew","Melton Mowbray",52.7661,-0.886,52.2333,20.2333,"LINESTRING (-0.886 52.7661, 20.2333 52.2333)"
"1636","Sochi","Cheltenham",51.8833,-2.0667,43.5853,39.7203,"LINESTRING (-2.0667 51.8833, 39.7203 43.5853)"
"1638","Soest, Germany","Bangor, Gwynedd",53.228,-4.128,51.5711,8.1092,"LINESTRING (-4.128 53.228, 8.1092 51.5711)"
"1639","Soliers","Ipplepen",50.489,-3.642,49.1356,-0.2942,"LINESTRING (-3.642 50.489, -0.2942 49.1356)"
"1640","Solingen","Blyth Valley",55.127,-1.523,51.1667,7.0833,"LINESTRING (-1.523 55.127, 7.0833 51.1667)"
"1641","Somme (department)","Durham, England",54.7761,-1.5733,49.8833,2.4167,"LINESTRING (-1.5733 54.7761, 2.4167 49.8833)"
"1645","Sonsbeck","Sandwich, Kent",51.2747,1.3389,51.6089,6.3769,"LINESTRING (1.3389 51.2747, 6.3769 51.6089)"
"1647","Sourdeval","Odiham",51.2457,-0.9478,48.7239,-0.9197,"LINESTRING (-0.9478 51.2457, -0.9197 48.7239)"
"1648","South Dublin","London Borough of Brent",51.5661,-0.2739,53.3078,-6.4131,"LINESTRING (-0.2739 51.5661, -6.4131 53.3078)"
"1650","Spandau","Luton",51.9,-0.4333,52.55,13.2,"LINESTRING (-0.4333 51.9, 13.2 52.55)"
"1651","Spanish Town","London Borough of Lambeth",51.4602,-0.1214,17.9959,-76.9551,"LINESTRING (-0.1214 51.4602, -76.9551 17.9959)"
"1652","Speightstown","Reading, Berkshire",51.4542,-0.9731,13.2544,-59.6408,"LINESTRING (-0.9731 51.4542, -59.6408 13.2544)"
"1653","Speyer","Spalding, Lincolnshire",52.7858,-0.1529,49.3194,8.4311,"LINESTRING (-0.1529 52.7858, 8.4311 49.3194)"
"1654","Spijkenisse","Thetford",52.41,0.74,51.85,4.3333,"LINESTRING (0.74 52.41, 4.3333 51.85)"
"1655","Stade","Truro",50.26,-5.051,53.6008,9.4764,"LINESTRING (-5.051 50.26, 9.4764 53.6008)"
"1656","Stadtallendorf","St Ives, Cambridgeshire",52.3344,-0.0761,50.8333,9.0167,"LINESTRING (-0.0761 52.3344, 9.0167 50.8333)"
"1657","Stafford County, Virginia","Stafford",52.8066,-2.1171,38.41,-77.45,"LINESTRING (-2.1171 52.8066, -77.45 38.41)"
"1658","Stains","Cheshunt",51.702,-0.035,48.95,2.3833,"LINESTRING (-0.035 51.702, 2.3833 48.95)"
"1659","Stampersgat","Cheltenham",51.8833,-2.0667,51.6128,4.4394,"LINESTRING (-2.0667 51.8833, 4.4394 51.6128)"
"1660","Stanley, Falkland Islands","Whitby",54.4858,-0.6206,-51.6921,-57.8589,"LINESTRING (-0.6206 54.4858, -57.8589 -51.6921)"
"1661","Steinfurt (district)","London Borough of Ealing",51.5,-0.3333,52.17,7.67,"LINESTRING (-0.3333 51.5, 7.67 52.17)"
"1662","St. George's, Grenada","London Borough of Islington",51.5333,-0.1333,12.05,-61.75,"LINESTRING (-0.1333 51.5333, -61.75 12.05)"
"1664","Strasbourg","Leicester",52.6333,-1.1333,48.58,7.75,"LINESTRING (-1.1333 52.6333, 7.75 48.58)"
"1665","Sturbridge, Massachusetts","Stourbridge",52.4575,-2.1479,42.1083,-72.0792,"LINESTRING (-2.1479 52.4575, -72.0792 42.1083)"
"1666","Stuttgart","St Helens, Merseyside",53.4541,-2.7461,48.7833,9.1833,"LINESTRING (-2.7461 53.4541, 9.1833 48.7833)"
"1668","Stuttgart","Cardiff",51.4833,-3.1833,48.7833,9.1833,"LINESTRING (-3.1833 51.4833, 9.1833 48.7833)"
"1676","Sulechów","Rushmoor",51.2775,-0.7715,52.0833,15.6167,"LINESTRING (-0.7715 51.2775, 15.6167 52.0833)"
"1679","Suresnes","London Borough of Hackney",51.5333,-0.0833,48.87,2.22,"LINESTRING (-0.0833 51.5333, 2.22 48.87)"
"1680","Sušice","Sherborne",50.9469,-2.5171,49.2311,13.5203,"LINESTRING (-2.5171 50.9469, 13.5203 49.2311)"
"1684","Sutera","Broxbourne",51.7495,-0.0216,37.5333,13.7333,"LINESTRING (-0.0216 51.7495, 13.7333 37.5333)"
"1686","Szczecin","Kingston upon Hull",53.7443,-0.3325,53.4167,14.5833,"LINESTRING (-0.3325 53.7443, 14.5833 53.4167)"
"1687","Szeged","Cambridge",52.205,0.119,46.255,20.145,"LINESTRING (0.119 52.205, 20.145 46.255)"
"1688","Székesfehérvár","Chorley",53.653,-2.632,47.1956,18.4089,"LINESTRING (-2.632 53.653, 18.4089 47.1956)"
"1689","Szentendre","Huntingdon",52.3364,-0.1717,47.7044,19.0686,"LINESTRING (-0.1717 52.3364, 19.0686 47.7044)"
"1690","Taiyuan","Newcastle upon Tyne",54.9667,-1.6,37.8694,112.5603,"LINESTRING (-1.6 54.9667, 112.5603 37.8694)"
"1692","Tarragona","Stafford",52.8066,-2.1171,41.1157,1.2496,"LINESTRING (-2.1171 52.8066, 1.2496 41.1157)"
"1693","Tatabánya","Christchurch, Dorset",50.73,-1.78,47.5862,18.3949,"LINESTRING (-1.78 50.73, 18.3949 47.5862)"
"1694","Taunton, Massachusetts","Taunton",51.019,-3.1,41.9,-71.0903,"LINESTRING (-3.1 51.019, -71.0903 41.9)"
"1695","Taunusstein","Yeovil",50.9452,-2.637,50.1333,8.15,"LINESTRING (-2.637 50.9452, 8.15 50.1333)"
"1696","Tbilisi","Bristol",51.45,-2.5833,41.7167,44.7833,"LINESTRING (-2.5833 51.45, 44.7833 41.7167)"
"1697","Tczew","London Borough of Barking and Dagenham",51.55,0.1167,54.1,18.7167,"LINESTRING (0.1167 51.55, 18.7167 54.1)"
"1698","Tehran","Woodhall Spa",53.1515,-0.2183,35.6961,51.4231,"LINESTRING (-0.2183 53.1515, 51.4231 35.6961)"
"1699","Tema","Royal Borough of Greenwich",51.45,0.05,5.6667,0,"LINESTRING (0.05 51.45, 0 5.6667)"
"1700","Tempelhof","London Borough of Barnet",51.6254,-0.1527,52.4667,13.3833,"LINESTRING (-0.1527 51.6254, 13.3833 52.4667)"
"1702","Thaon","Long Wittenham",51.637,-1.211,49.2586,-0.4544,"LINESTRING (-1.211 51.637, -0.4544 49.2586)"
"1706","Time, Norway","Alnwick",55.4134,-1.7069,58.7228,5.7653,"LINESTRING (-1.7069 55.4134, 5.7653 58.7228)"
"1708","Tinténiac","Redgrave, Suffolk",52.361,1.002,48.3297,-1.8336,"LINESTRING (1.002 52.361, -1.8336 48.3297)"
"1710","Tokyo","Woodhall Spa",53.1515,-0.2183,35.6895,139.6917,"LINESTRING (-0.2183 53.1515, 139.6917 35.6895)"
"1713","Tornio","Devizes",51.353,-1.994,65.85,24.15,"LINESTRING (-1.994 51.353, 24.15 65.85)"
"1714","Toruń","Swindon",51.56,-1.78,53.0167,18.6167,"LINESTRING (-1.78 51.56, 18.6167 53.0167)"
"1715","Toulouse","Bristol",51.45,-2.5833,43.6045,1.444,"LINESTRING (-2.5833 51.45, 1.444 43.6045)"
"1716","Tourcoing","Rochdale",53.6136,-2.161,50.7323,3.104,"LINESTRING (-2.161 53.6136, 3.104 50.7323)"
"1718","Trangé","Dunston, Lincolnshire",53.1526,-0.4109,48.0275,0.1119,"LINESTRING (-0.4109 53.1526, 0.1119 48.0275)"
"1719","Traunstein","Haywards Heath",51.0048,-0.0979,47.8667,12.6333,"LINESTRING (-0.0979 51.0048, 12.6333 47.8667)"
"1720","Trévières","Stokeinteignhead",50.524,-3.53,49.3092,-0.903,"LINESTRING (-3.53 50.524, -0.903 49.3092)"
"1731","Troarn","Chudleigh",50.604,-3.605,49.1822,-0.1833,"LINESTRING (-3.605 50.604, -0.1833 49.1822)"
"1732","Tromsø","Grimsby",53.5595,-0.068,69.6828,18.9428,"LINESTRING (-0.068 53.5595, 18.9428 69.6828)"
"1734","Troyes","Chesterfield",53.2358,-1.4275,48.2997,4.0792,"LINESTRING (-1.4275 53.2358, 4.0792 48.2997)"
"1735","Truro, Massachusetts","Truro",50.26,-5.051,41.9933,-70.0503,"LINESTRING (-5.051 50.26, -70.0503 41.9933)"
"1736","Truro, Nova Scotia","Truro",50.26,-5.051,45.3647,-63.28,"LINESTRING (-5.051 50.26, -63.28 45.3647)"
"1738","Tsumeb","Chesterfield",53.2358,-1.4275,-19.25,17.7,"LINESTRING (-1.4275 53.2358, 17.7 -19.25)"
"1739","Tübingen","Durham, England",54.7761,-1.5733,48.52,9.0556,"LINESTRING (-1.5733 54.7761, 9.0556 48.52)"
"1743","Tuffé","Allington, Lincolnshire",52.9524,-0.723,48.1142,0.5153,"LINESTRING (-0.723 52.9524, 0.5153 48.1142)"
"1744","Tulle","Bury",53.593,-2.298,45.2673,1.7655,"LINESTRING (-2.298 53.593, 1.7655 45.2673)"
"1745","Türi","Sherborne",50.9469,-2.5171,58.8094,25.4292,"LINESTRING (-2.5171 50.9469, 25.4292 58.8094)"
"1749","Twenterand","Radlett",51.682,-0.314,52.4167,6.6333,"LINESTRING (-0.314 51.682, 6.6333 52.4167)"
"1750","Tymbark","Whaley Bridge",53.3304,-1.9838,49.7272,20.3256,"LINESTRING (-1.9838 53.3304, 20.3256 49.7272)"
"1751","Uherské Hradiště","Bridgwater",51.128,-2.993,49.0658,17.4583,"LINESTRING (-2.993 51.128, 17.4583 49.0658)"
"1752","Ulan Bator","City of Leeds",53.7997,-1.5492,47.92,106.92,"LINESTRING (-1.5492 53.7997, 106.92 47.92)"
"1753","Unna","Kirklees",53.593,-1.801,51.5347,7.6889,"LINESTRING (-1.801 53.593, 7.6889 51.5347)"
"1754","Unterhaching","Witney",51.78,-1.49,48.0658,11.61,"LINESTRING (-1.49 51.78, 11.61 48.0658)"
"1755","Upper Normandy","London Borough of Redbridge",51.5667,0.0833,49.5,1,"LINESTRING (0.0833 51.5667, 1 49.5)"
"1756","Ústí nad Labem","Borough of Halton",53.3333,-2.75,50.6583,14.0417,"LINESTRING (-2.75 53.3333, 14.0417 50.6583)"
"1759","Valenciennes","Chatham, Kent",51.361,0.5362,50.3581,3.5233,"LINESTRING (0.5362 51.361, 3.5233 50.3581)"
